7:1030,1267,2140,5000,302,518,3213,4364,146,1173
18:17,518,8,654,302,58,616,650,199,508
19:17,302,654,76,616,58,8,866,84,29
36:616,17,58,787,8,15,70,94,542,363
37:103,61,1370,5287,1987,472,2200,65,8,3521
41:17,138,302,654,1535,542,226,1462,1023,616
42:9775,40386,1126,16707,3960,28428,902,3093,1535,431
43:1326,76,564,302,17,508,168,81,378,224
44:616,302,409,542,518,861,76,564,8,1196
45:4858,11751,15580,564,347,719,1332,238,236,2878
46:616,7407,58,302,508,1476,8,356,245,698
59:616,58,245,654,2076,1382,15,1102,4268,114
60:616,302,58,15,8,542,518,29,32,322
69:302,226,654,138,76,354,29,58,650,1462
70:33549,23343,86011,11560,34036,97868,70198,31306,76931,102651
94:17,654,302,354,616,84,58,70,301,29
106:646,70,15,6789,364,1405,32,94,518,1382
115:8,518,58,902,861,29,61,289,409,15
116:17,76,302,616,508,654,70,8,101,238
142:58,84,29,8,1102,301,866,6,32,322
143:1305,44282,20440,54193,10181,7599,211,1549,54752,1095
148:1527,1712,3107,6434,8848,710,7880,1335,10939,3704
150:17,302,654,8,61,518,94,245,29,542
156:542,58,616,8,302,1196,656,564,364,508
161:840,3196,2548,10541,27070,8069,5111,197,7160,14793
171:94358,1305,46531,4414,38892,18012,7223,17168,493,25
172:58,654,8,101,542,61,518,861,289,564
174:518,8,296,431,245,654,3233,873,899,11194
177:86976,761,108285,29,4439,22997,239,226,31612,12750
196:616,76,29,650,542,564,736,861,289,101
202:302,354,58,518,32,554,542,1102,861,322
211:1131,76,3842,974,17,8,564,1119,106,22
217:6963,86680,74825,59927,62,14026,79522,19110,34056,4414
220:10178,58738,64973,13192,1342,39446,7478,2097,186,22713
223:245,94,616,508,103,8,518,131,84,354
224:4797,353,1951,518,17,245,8,84,654,601
225:616,542,654,302,61,364,8,518,861,787
228:568,650,17,654,616,302,58,32,285,542
229:429,58,508,238,861,84,101,61,81,518
231:1196,654,616,61,58,542,8,301,364,518
232:37449,78975,77677,60364,48718,24068,108129,100265,86134,40084
238:4421,3717,1787,497,13087,542,546,810,2917,1790
241:616,58,650,76,542,564,518,1196,861,15
245:81,262,16786,3939,650,780,508,3137,5767,11822
249:17,616,15,302,518,654,8,58,542,84
250:542,302,58,616,238,654,29,81,787,564
253:17,616,302,58,654,650,76,542,8,564
257:17,15,62,554,542,356,364,861,363,1220
272:30556,8,16621,1790,5567,5685,101,8213,162,35955
273:1196,813,902,861,1822,5117,568,486,3250,94
288:616,17,58,554,15,1196,409,3323,238,1509
290:363,107681,65718,10217,4021,11242,3172,698,1254,4708
291:23,15989,26067,16852,10511,26721,1050,54443,10384,6258
292:654,542,58,616,1550,363,289,155,1119,866
294:17,302,29,76,15,542,8,6,289,1102
328:302,654,84,58,616,8,29,1102,354,76
331:17,654,58,616,302,15,8,542,84,650
345:1754,77581,805,385,120518,45975,39936,83173,11401,3250
361:58,29,616,650,8,76,354,138,518,736
376:302,17,58,616,29,84,6,518,285,8
384:1344,1196,1804,15,94,1140,224,430,302,3429
401:616,542,58,508,15,245,238,81,32,61
402:302,654,8,61,518,94,245,542,84,15
410:984,8860,463,8733,9874,10648,2833,1682,10752,760
448:710,4513,1744,245,8,76,1065,3506,6315,3618
449:17,194,7959,84,182,650,866,2583,358,2139
450:4027,6793,295,2265,94,1991,1622,1995,40414,407
452:2703,93072,861,13523,5869,4021,4967,32,23323,6759
476:70,1142,122432,70597,496,17673,51177,9287,45903,931
488:17,70,518,508,899,1023,65,2583,787,4187
490:17,302,15,101,76,289,486,650,29,554
494:17,616,654,58,542,15,8,518,101,564
500:17,302,616,654,58,76,8,650,84,29
514:9024,1081,760,16956,4071,2153,2833,1460,5480,2582
525:84,518,302,616,654,58,1102,101,650,564
535:17,1102,8,518,354,29,138,101,301,650
536:654,302,542,616,84,289,58,29,8,650
538:409,62,76,616,302,236,3323,58,1558,508
539:30164,16397,226,33247,96706,47044,8885,219,99144,4021
564:8,76,518,15,564,61,84,364,508,402
582:97,616,4919,1344,866,322,363,285,1772,3329
585:616,364,17,654,15,61,302,58,29,245
590:654,29,650,8,76,354,6,542,518,736
601:75023,105155,69110,118676,27912,67228,31717,94414,90054,121660
618:302,17,1097,8359,58,616,62,654,1535,138
624:17,8,508,76,302,654,616,518,84,7006
627:5512,311,780,32661,11539,83175,19731,10071,14174,5567
628:18497,35237,92392,22501,3929,4027,52860,12976,12522,10458
632:111454,99239,49677,72447,17109,32377,3167,81,16714,114049
633:302,654,58,8,84,650,238,518,1102,564
634:8167,25910,12332,3126,367,3477,57974,14841,70,2423
646:17,616,654,302,542,58,564,238,1196,15
666:36587,1544,8862,65202,41376,114579,9661,12536,1065,4137
667:17,302,654,616,58,76,8,29,84,224
669:568,21908,29969,2614,6491,40616,2715,32233,48188,16763
678:654,17,302,58,564,542,76,32,245,901
680:17,654,616,58,8,650,29,138,84,518
681:719,984,5480,801,1400,2318,8860,72,760,463
682:4194,83191,19962,1002,6678,18572,219,3927,19712,10291
683:1784,27552,38054,24415,104893,16680,4904,542,25771,9681
684:11984,22890,29161,69720,11470,10493,54703,53182,62346,25405
715:4671,2543,9435,17486,8867,11855,1011,8427,12861,3034
716:17,302,429,616,654,58,8,84,861,1102
741:1405,9024,94,1276,4940,508,505,168,1867,760
